IMAGE                                                                     CREATED        CREATED BY                                                                              SIZE      COMMENT
sha256:271b38ba5d2c68579f0d75b43d294b65626f57a7878eef545b8021c07b3e178d   3 months ago   CMD ["./shufflebackend"]                                                                0B        buildkit.dockerfile.v0
<missing>                                                                 3 months ago   EXPOSE [5001/tcp]                                                                       0B        buildkit.dockerfile.v0
<missing>                                                                 3 months ago   WORKDIR /app                                                                            4.1kB     buildkit.dockerfile.v0
<missing>                                                                 3 months ago   COPY /etc/ssl/certs/ca-certificates.crt /etc/ssl/certs/ca-certificates.crt # buildkit   242kB     buildkit.dockerfile.v0
<missing>                                                                 3 months ago   COPY /app_gen/ /app_gen # buildkit                                                      65.5kB    buildkit.dockerfile.v0
<missing>                                                                 3 months ago   COPY /app_sdk/ /app_sdk # buildkit                                                      209kB     buildkit.dockerfile.v0
<missing>                                                                 3 months ago   COPY /app/ /app # buildkit                                                              120MB     buildkit.dockerfile.v0
<missing>                                                                 3 months ago   RUN /bin/sh -c apk add --no-cache libstdc++ # buildkit                                  3.02MB    buildkit.dockerfile.v0
<missing>                                                                 3 months ago   RUN /bin/sh -c apk add --no-cache libc6-compat # buildkit                               221kB     buildkit.dockerfile.v0
<missing>                                                                 7 months ago   CMD ["/bin/sh"]                                                                         0B        buildkit.dockerfile.v0
<missing>                                                                 7 months ago   ADD alpine-minirootfs-3.22.2-x86_64.tar.gz / # buildkit                                 8.99MB    buildkit.dockerfile.v0
