IMAGE                                                                     CREATED       CREATED BY                                                                                                                                                                                                                                 SIZE      COMMENT
sha256:de74ca155d35c0f8f50b9133320ae02cb0e0a73ef72ff0dececf949a0ab5fcd3   2 weeks ago   ENTRYPOINT ["/opt/aptl/wazuh/wazuh-agent.sh"]                                                                                                                                                                                              0B        buildkit.dockerfile.v0
<missing>                                                                 2 weeks ago   RUN /bin/sh -c chmod +x /opt/aptl/wazuh/wazuh-agent.sh # buildkit                                                                                                                                                                          4.1kB     buildkit.dockerfile.v0
<missing>                                                                 2 weeks ago   COPY containers/_wazuh-agent/wazuh-agent.sh /opt/aptl/wazuh/wazuh-agent.sh # buildkit                                                                                                                                                      24.6kB    buildkit.dockerfile.v0
<missing>                                                                 2 weeks ago   COPY containers/_wazuh-agent/ossec.conf.template /opt/aptl/wazuh/ossec.conf.template # buildkit                                                                                                                                            20.5kB    buildkit.dockerfile.v0
<missing>                                                                 2 weeks ago   RUN /bin/sh -c /tmp/install-wazuh.sh &&     rm /tmp/install-wazuh.sh /tmp/aptl-firewall-drop.sh /tmp/active-response-whitelist &&     apt-get purge -y curl gnupg && apt-get autoremove -y &&     rm -rf /var/lib/apt/lists/* # buildkit   41.8MB    buildkit.dockerfile.v0
<missing>                                                                 2 weeks ago   COPY config/wazuh_cluster/etc/lists/active-response-whitelist /tmp/active-response-whitelist # buildkit                                                                                                                                    12.3kB    buildkit.dockerfile.v0
<missing>                                                                 2 weeks ago   COPY containers/_wazuh-agent/aptl-firewall-drop.sh /tmp/aptl-firewall-drop.sh # buildkit                                                                                                                                                   16.4kB    buildkit.dockerfile.v0
<missing>                                                                 2 weeks ago   COPY containers/_wazuh-agent/install.sh /tmp/install-wazuh.sh # buildkit                                                                                                                                                                   12.3kB    buildkit.dockerfile.v0
<missing>                                                                 2 weeks ago   ENV DEBIAN_FRONTEND=noninteractive                                                                                                                                                                                                         0B        buildkit.dockerfile.v0
<missing>                                                                 2 weeks ago   # debian.sh --arch 'amd64' out/ 'bookworm' '@1779062400'                                                                                                                                                                                   85.2MB    debuerreotype 0.17
