IMAGE                                                                     CREATED        CREATED BY                                                                                                                                                                                                                                           SIZE      COMMENT
sha256:8f5b50fde67a0b1c4d2321aa26b12bbc5cef21269cf4f6225746f0b946458bd7   9 months ago   ENTRYPOINT ["/entrypoint.sh"]                                                                                                                                                                                                                        0B        buildkit.dockerfile.v0
<missing>                                                                 9 months ago   EXPOSE map[443/tcp:{}]                                                                                                                                                                                                                               0B        buildkit.dockerfile.v0
<missing>                                                                 9 months ago   USER wazuh-dashboard                                                                                                                                                                                                                                 0B        buildkit.dockerfile.v0
<missing>                                                                 9 months ago   WORKDIR /usr/share/wazuh-dashboard                                                                                                                                                                                                                   4.1kB     buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c chown 1000:1000 /usr/share/wazuh-dashboard/plugins/wazuh/public/assets/custom # buildkit                                                                                                                                              36.9kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c mkdir -p /usr/share/wazuh-dashboard/plugins/wazuh/public/assets/custom # buildkit                                                                                                                                                     36.9kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   COPY --chown=1000:1000 /usr/share/wazuh-dashboard /usr/share/wazuh-dashboard # buildkit                                                                                                                                                              1.18GB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c chown 1000:1000 /*.sh # buildkit                                                                                                                                                                                                      12.3kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c chmod 700 /wazuh_app_config.sh # buildkit                                                                                                                                                                                             8.19kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c chmod 700 /entrypoint.sh # buildkit                                                                                                                                                                                                   8.19kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   COPY config/wazuh_app_config.sh / # buildkit                                                                                                                                                                                                         8.19kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   COPY config/entrypoint.sh / # buildkit                                                                                                                                                                                                               8.19kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c useradd --system             --uid 1000             --no-create-home             --home-dir $INSTALL_DIR             --gid $GROUP             --shell /sbin/nologin             --comment "$USER user"             $USER # buildkit   24.6kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c getent group $GROUP || groupadd -r -g 1000 $GROUP # buildkit                                                                                                                                                                          24.6kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c yum install shadow-utils -y # buildkit                                                                                                                                                                                                112MB     buildkit.dockerfile.v0
<missing>                                                                 9 months ago   ENV PATTERN= CHECKS_PATTERN= CHECKS_TEMPLATE= CHECKS_API= CHECKS_SETUP= APP_TIMEOUT= API_SELECTOR= IP_SELECTOR= IP_IGNORE= WAZUH_MONITORING_ENABLED= WAZUH_MONITORING_FREQUENCY= WAZUH_MONITORING_SHARDS= WAZUH_MONITORING_REPLICAS=                 0B        buildkit.dockerfile.v0
<missing>                                                                 9 months ago   ENV USER=wazuh-dashboard GROUP=wazuh-dashboard NAME=wazuh-dashboard INSTALL_DIR=/usr/share/wazuh-dashboard                                                                                                                                           0B        buildkit.dockerfile.v0
<missing>                                                                 9 months ago   CMD ["/bin/bash"]                                                                                                                                                                                                                                    0B        buildkit.dockerfile.v0
<missing>                                                                 9 months ago   COPY /rootfs/ / # buildkit                                                                                                                                                                                                                           166MB     buildkit.dockerfile.v0
