IMAGE                                                                     CREATED        CREATED BY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              SIZE      COMMENT
sha256:3691b3b27658695aad0c6879b412a001caf233ebbc1a5ba15647053aa03a2299   9 months ago   CMD ["opensearchwrapper"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               0B        buildkit.dockerfile.v0
<missing>                                                                 9 months ago   ENTRYPOINT ["/entrypoint.sh"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           0B        buildkit.dockerfile.v0
<missing>                                                                 9 months ago   EXPOSE map[9200/tcp:{}]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 0B        buildkit.dockerfile.v0
<missing>                                                                 9 months ago   USER wazuh-indexer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      0B        buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c mkdir -p /var/lib/wazuh-indexer && chown 1000:1000 /var/lib/wazuh-indexer &&     mkdir -p /usr/share/wazuh-indexer/logs && chown 1000:1000 /usr/share/wazuh-indexer/logs &&     mkdir -p /run/wazuh-indexer && chown 1000:1000 /run/wazuh-indexer &&     mkdir -p /var/log/wazuh-indexer && chown 1000:1000 /var/log/wazuh-indexer &&     chmod 700 /usr/share/wazuh-indexer &&     chmod 600 /usr/share/wazuh-indexer/jvm.options &&     chmod 600 /usr/share/wazuh-indexer/opensearch.yml # buildkit   57.3kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c chown -R 1000:1000 /usr/share/wazuh-indexer # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                                   16.4kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   COPY --chown=0:0 /debian/wazuh-indexer/usr/lib/tmpfiles.d /usr/lib/tmpfiles.d # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                4.1kB     buildkit.dockerfile.v0
<missing>                                                                 9 months ago   COPY --chown=0:0 /debian/wazuh-indexer/usr/lib/sysctl.d /usr/lib/sysctl.d # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                    4.1kB     buildkit.dockerfile.v0
<missing>                                                                 9 months ago   COPY --chown=0:0 /debian/wazuh-indexer/usr/lib/systemd /usr/lib/systemd # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                      20.5kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   COPY --chown=1000:1000 /etc/wazuh-indexer /usr/share/wazuh-indexer # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                           213kB     buildkit.dockerfile.v0
<missing>                                                                 9 months ago   COPY --chown=1000:1000 /usr/share/wazuh-indexer /usr/share/wazuh-indexer # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                     1.11GB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c chown 1000:1000 /*.sh # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                                                         12.3kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c chmod 700 /entrypoint.sh && chmod 700 /securityadmin.sh # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                       12.3kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   COPY config/securityadmin.sh / # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                                                               8.19kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   COPY config/entrypoint.sh / # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  8.19kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   WORKDIR /usr/share/wazuh-indexer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        16.4kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c useradd --system             --uid 1000             --no-create-home             --home-dir $INSTALL_DIR             --gid $GROUP             --shell /sbin/nologin             --comment "$USER user"             $USER # buildkit                                                                                                                                                                                                                                                                      24.6kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c getent group $GROUP || groupadd -r -g 1000 $GROUP # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                             24.6kB    buildkit.dockerfile.v0
<missing>                                                                 9 months ago   RUN /bin/sh -c yum install curl-minimal shadow-utils findutils hostname -y # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                   114MB     buildkit.dockerfile.v0
<missing>                                                                 9 months ago   ENV USER=wazuh-indexer GROUP=wazuh-indexer NAME=wazuh-indexer INSTALL_DIR=/usr/share/wazuh-indexer                                                                                                                                                                                                                                                                                                                                                                                                                      0B        buildkit.dockerfile.v0
<missing>                                                                 9 months ago   CMD ["/bin/bash"]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       0B        buildkit.dockerfile.v0
<missing>                                                                 9 months ago   COPY /rootfs/ / # buildkit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              166MB     buildkit.dockerfile.v0
