directory drwxr-xr-x 755 0 root 0 root 4096 1779517114 /usr/share/wazuh-indexer/certs
regular file -rw-r--r-- 644 1000 wazuh-indexer 1000 wazuh-indexer 1704 1763356180 /usr/share/wazuh-indexer/certs/admin-key.pem
regular file -rw-r--r-- 644 1000 wazuh-indexer 1000 wazuh-indexer 1119 1763356180 /usr/share/wazuh-indexer/certs/admin.pem
regular file -rw-r--r-- 644 1000 wazuh-indexer 1000 wazuh-indexer 1204 1763356180 /usr/share/wazuh-indexer/certs/root-ca.pem
regular file -rw-r--r-- 644 1000 wazuh-indexer 1000 wazuh-indexer 1704 1763356180 /usr/share/wazuh-indexer/certs/wazuh.indexer.key
regular file -rw-r--r-- 644 1000 wazuh-indexer 1000 wazuh-indexer 1257 1763356180 /usr/share/wazuh-indexer/certs/wazuh.indexer.pem
regular file -rw------- 600 1000 wazuh-indexer 1000 wazuh-indexer 3034 1756728254 /usr/share/wazuh-indexer/jvm.options
directory drwxr-x--- 750 1000 wazuh-indexer 1000 wazuh-indexer 4096 1746010527 /usr/share/wazuh-indexer/jvm.options.d
directory drwxr-x--- 750 1000 wazuh-indexer 1000 wazuh-indexer 4096 1756728250 /usr/share/wazuh-indexer/opensearch-security
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 50 1746010643 /usr/share/wazuh-indexer/opensearch-security/action_groups.yml
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1973 1746010643 /usr/share/wazuh-indexer/opensearch-security/allowlist.yml
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 2541 1746010643 /usr/share/wazuh-indexer/opensearch-security/audit.yml
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 10063 1746010643 /usr/share/wazuh-indexer/opensearch-security/config.yml
regular file -rw-r--r-- 644 1000 wazuh-indexer 1000 wazuh-indexer 1320 1757264682 /usr/share/wazuh-indexer/opensearch-security/internal_users.yml
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 154 1746010643 /usr/share/wazuh-indexer/opensearch-security/nodes_dn.yml
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 12381 1746010643 /usr/share/wazuh-indexer/opensearch-security/opensearch.yml.example
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 13387 1746010654 /usr/share/wazuh-indexer/opensearch-security/roles.yml
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1509 1746010654 /usr/share/wazuh-indexer/opensearch-security/roles_mapping.yml
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 170 1746010643 /usr/share/wazuh-indexer/opensearch-security/tenants.yml
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1973 1746010643 /usr/share/wazuh-indexer/opensearch-security/whitelist.yml
regular file -rw-rw-r-- 664 1000 wazuh-indexer 1000 wazuh-indexer 1940 1777853070 /usr/share/wazuh-indexer/opensearch.yml
directory drwxr-x--- 750 1000 wazuh-indexer 1000 wazuh-indexer 4096 1756728250 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1125173 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/bcpkix-jdk18on-1.78.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 6638538 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/bcprov-jdk15to18-1.78.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 3264259 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/byte-buddy-1.9.7.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 43415 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/byte-buddy-agent-1.9.7.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 223637 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/checker-qual-3.29.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 657952 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/commons-lang3-3.14.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 15994 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/error_prone_annotations-2.9.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 4740 1746010632 /usr/share/wazuh-indexer/plugins/opensearch-performance-analyzer/failureaccess-1.0.2.jar
